,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,temp_v,humdy_v,cloud_v,wind_v
386,sassenberg,DE,0,09/28/2018,93,51.99,8.04,39.2,2.24,xkcd:green,#1919FF,#0000FF,xkcd:violet
387,georgetown,SH,0,09/28/2018,100,-7.93,-14.42,74.67,16.35,xkcd:orange,#0000FF,#0000FF,xkcd:green
388,bambanglipuro,ID,80,09/28/2018,95,-7.95,110.28,71.16,3.38,xkcd:orange,#1919FF,#B2B2FF,xkcd:violet
389,severo-kurilsk,RU,44,09/28/2018,91,50.68,156.12,51.18,6.51,xkcd:yellow green,#1919FF,#6666FF,xkcd:indigo blue
390,nikolskoye,RU,0,09/28/2018,74,59.7,30.79,37.4,8.95,xkcd:green,#4C4CFF,#0000FF,xkcd:indigo blue
391,jamestown,SH,80,09/28/2018,100,-15.94,-5.72,66.93,14.67,xkcd:yellow,#0000FF,#B2B2FF,xkcd:blue
392,calama,CL,0,09/28/2018,11,-22.46,-68.93,62.6,13.87,xkcd:yellow,#E5E5FF,#0000FF,xkcd:blue
393,banda aceh,ID,0,09/28/2018,99,5.56,95.32,73.05,1.92,xkcd:orange,#1919FF,#0000FF,xkcd:violet
394,mandera,KE,80,09/28/2018,75,3.94,41.87,76.29,6.17,xkcd:orange,#4C4CFF,#B2B2FF,xkcd:indigo blue
395,dokka,NO,32,09/28/2018,100,60.83,10.07,31.38,2.37,xkcd:green,#0000FF,#4C4CFF,xkcd:violet
396,oktyabrskiy,RU,20,09/28/2018,80,55.61,37.97,41,6.71,xkcd:sea green,#4C4CFF,#1919FF,xkcd:indigo blue
397,beruwala,LK,88,09/28/2018,100,6.48,79.98,75.48,4.16,xkcd:orange,#0000FF,#CCCCFF,xkcd:violet
398,muravlenko,RU,92,09/28/2018,100,63.79,74.5,47.22,16.35,xkcd:sea green,#0000FF,#E5E5FF,xkcd:green
399,sept-iles,CA,20,09/28/2018,87,50.2,-66.38,44.6,16.11,xkcd:sea green,#3333FF,#1919FF,xkcd:green
400,sol-iletsk,RU,0,09/28/2018,81,51.16,55,43.89,10.76,xkcd:sea green,#3333FF,#0000FF,xkcd:blue
401,hasaki,JP,75,09/28/2018,78,35.73,140.83,71.6,4.7,xkcd:orange,#4C4CFF,#B2B2FF,xkcd:violet
402,san cristobal,EC,80,09/28/2018,99,-1.02,-79.44,64.14,1.59,xkcd:yellow,#1919FF,#B2B2FF,xkcd:violet
403,geraldton,AU,90,09/28/2018,64,-28.77,114.6,71.6,13.87,xkcd:orange,#6666FF,#CCCCFF,xkcd:blue
404,maralal,KE,20,09/28/2018,97,1.1,36.7,51.81,2.59,xkcd:yellow green,#1919FF,#1919FF,xkcd:violet
405,kungurtug,RU,0,09/28/2018,70,50.6,97.53,16.53,2.37,xkcd:indigo blue,#6666FF,#0000FF,xkcd:violet
406,korla,CN,0,09/28/2018,71,41.76,86.15,44.43,3.04,xkcd:sea green,#4C4CFF,#0000FF,xkcd:violet
407,vanavara,RU,0,09/28/2018,80,60.35,102.28,30.66,2.48,xkcd:green,#4C4CFF,#0000FF,xkcd:violet
408,castro,CL,80,09/28/2018,100,-42.48,-73.76,48.21,8.41,xkcd:sea green,#0000FF,#B2B2FF,xkcd:indigo blue
409,guerrero negro,MX,8,09/28/2018,51,27.97,-114.04,81.69,10.31,xkcd:reddish orange,#7F7FFF,#0000FF,xkcd:blue
410,sembe,CG,8,09/28/2018,97,1.65,14.58,71.43,2.04,xkcd:orange,#1919FF,#0000FF,xkcd:violet
411,solnechnyy,RU,0,09/28/2018,66,50.72,136.64,55.05,2.59,xkcd:yellow green,#6666FF,#0000FF,xkcd:violet
412,netrakona,BD,44,09/28/2018,96,24.88,90.72,77.82,3.38,xkcd:orange,#1919FF,#6666FF,xkcd:violet
413,seymchan,RU,92,09/28/2018,100,62.93,152.39,33.36,8.41,xkcd:green,#0000FF,#E5E5FF,xkcd:indigo blue
414,varangaon,IN,8,09/28/2018,87,21.01,75.91,69.36,2.71,xkcd:yellow,#3333FF,#0000FF,xkcd:violet
415,longyearbyen,SJ,75,09/28/2018,79,78.22,15.64,26.6,17.22,xkcd:blue,#4C4CFF,#B2B2FF,xkcd:green
416,hambantota,LK,36,09/28/2018,100,6.12,81.12,77.55,11.65,xkcd:orange,#0000FF,#4C4CFF,xkcd:blue
417,coihaique,CL,75,09/28/2018,81,-45.58,-72.07,48.2,3.36,xkcd:sea green,#3333FF,#B2B2FF,xkcd:violet
418,anadyr,RU,75,09/28/2018,93,64.73,177.51,42.8,15.66,xkcd:sea green,#1919FF,#B2B2FF,xkcd:green
419,agra,IN,0,09/28/2018,76,27.18,78.01,71.07,2.59,xkcd:orange,#4C4CFF,#0000FF,xkcd:violet
420,bonthe,SL,92,09/28/2018,96,7.53,-12.5,76.83,2.71,xkcd:orange,#1919FF,#E5E5FF,xkcd:violet
421,port alfred,ZA,0,09/28/2018,85,-33.59,26.89,63.06,26.98,xkcd:yellow,#3333FF,#0000FF,xkcd:sea green
422,hobart,AU,20,09/28/2018,64,-42.88,147.33,53.6,17.22,xkcd:yellow green,#6666FF,#1919FF,xkcd:green
423,yeppoon,AU,40,09/28/2018,42,-23.13,150.74,80.6,6.93,xkcd:reddish orange,#9999FF,#4C4CFF,xkcd:indigo blue
424,port elizabeth,ZA,75,09/28/2018,76,-33.92,25.57,57.2,25.28,xkcd:yellow green,#4C4CFF,#B2B2FF,xkcd:sea green
425,sioux lookout,CA,90,09/28/2018,59,50.1,-91.92,35.6,12.75,xkcd:green,#7F7FFF,#CCCCFF,xkcd:blue
426,abashiri,JP,20,09/28/2018,72,44.01,144.25,59,4.7,xkcd:yellow green,#4C4CFF,#1919FF,xkcd:violet
427,kaspiyskiy,RU,44,09/28/2018,100,45.39,47.37,54.69,4.61,xkcd:yellow green,#0000FF,#6666FF,xkcd:violet
428,pevek,RU,56,09/28/2018,90,69.7,170.27,44.07,3.38,xkcd:sea green,#3333FF,#7F7FFF,xkcd:violet
429,kremenki,RU,90,09/28/2018,71,54.51,48.87,57.2,17.9,xkcd:yellow green,#4C4CFF,#CCCCFF,xkcd:green
430,greytown,ZA,88,09/28/2018,88,-29.06,30.59,56.76,2.15,xkcd:yellow green,#3333FF,#CCCCFF,xkcd:violet
431,pascagoula,US,1,09/28/2018,100,30.37,-88.56,80.96,2.15,xkcd:reddish orange,#0000FF,#0000FF,xkcd:violet
432,fougamou,GA,92,09/28/2018,100,-1.22,10.59,70.89,3.15,xkcd:orange,#0000FF,#E5E5FF,xkcd:violet
433,mokhsogollokh,RU,44,09/28/2018,69,61.4,128.95,37.68,4.38,xkcd:green,#6666FF,#6666FF,xkcd:violet
434,thompson,CA,90,09/28/2018,59,55.74,-97.86,33.8,10.29,xkcd:green,#7F7FFF,#CCCCFF,xkcd:blue
435,aviles,ES,0,09/28/2018,93,43.55,-5.92,66.2,8.05,xkcd:yellow,#1919FF,#0000FF,xkcd:indigo blue
436,presidencia roque saenz pena,AR,12,09/28/2018,67,-26.79,-60.44,81.96,12.44,xkcd:reddish orange,#6666FF,#1919FF,xkcd:blue
437,gamba,GA,100,09/28/2018,100,-2.72,10.02,77.01,6.4,xkcd:orange,#0000FF,#E5E5FF,xkcd:indigo blue
438,helong,CN,0,09/28/2018,74,25.94,116.13,69.54,6.62,xkcd:yellow,#4C4CFF,#0000FF,xkcd:indigo blue
439,katangli,RU,0,09/28/2018,77,51.71,143.23,56.31,12.33,xkcd:yellow green,#4C4CFF,#0000FF,xkcd:blue
440,sorland,NO,80,09/28/2018,100,67.67,12.69,45.96,25.97,xkcd:sea green,#0000FF,#B2B2FF,xkcd:sea green
441,whitianga,NZ,36,09/28/2018,100,-36.83,175.7,56.67,6.62,xkcd:yellow green,#0000FF,#4C4CFF,xkcd:indigo blue
442,kysyl-syr,RU,92,09/28/2018,81,63.9,122.77,39.93,6.62,xkcd:green,#3333FF,#E5E5FF,xkcd:indigo blue
443,prince rupert,CA,1,09/28/2018,77,54.32,-130.32,60.8,11.41,xkcd:yellow,#4C4CFF,#0000FF,xkcd:blue
444,lompoc,US,1,09/28/2018,56,34.64,-120.46,69.8,11.41,xkcd:yellow,#7F7FFF,#0000FF,xkcd:blue
445,srandakan,ID,80,09/28/2018,95,-7.94,110.25,71.16,3.38,xkcd:orange,#1919FF,#B2B2FF,xkcd:violet
446,barrow,US,40,09/28/2018,64,39.51,-90.4,62.96,5.82,xkcd:yellow,#6666FF,#4C4CFF,xkcd:indigo blue
447,fukue,JP,75,09/28/2018,88,35.03,136.69,68,10.29,xkcd:yellow,#3333FF,#B2B2FF,xkcd:blue
448,lalibela,ET,12,09/28/2018,82,12.04,39.05,41.82,2.04,xkcd:sea green,#3333FF,#1919FF,xkcd:violet
449,hermanus,ZA,56,09/28/2018,91,-34.42,19.24,44.61,1.92,xkcd:sea green,#1919FF,#7F7FFF,xkcd:violet
450,sovetskiy,RU,76,09/28/2018,88,56.76,48.47,46.86,23.06,xkcd:sea green,#3333FF,#B2B2FF,xkcd:sea green
451,bethel,US,20,09/28/2018,52,60.79,-161.76,66.02,17.22,xkcd:yellow,#7F7FFF,#1919FF,xkcd:green
452,hoopstad,ZA,0,09/28/2018,66,-27.83,25.91,55.59,8.41,xkcd:yellow green,#6666FF,#0000FF,xkcd:indigo blue
453,rawson,AR,20,09/28/2018,65,-43.3,-65.11,54.42,6.85,xkcd:yellow green,#6666FF,#1919FF,xkcd:indigo blue
454,neiafu,TO,75,09/28/2018,69,-18.65,-173.98,78.8,6.93,xkcd:orange,#6666FF,#B2B2FF,xkcd:indigo blue
455,provideniya,RU,92,09/28/2018,86,64.42,-173.23,48.21,27.2,xkcd:sea green,#3333FF,#E5E5FF,xkcd:sea green
456,carmen,CR,75,09/28/2018,93,9.87,-83.92,69.8,1.12,xkcd:yellow,#1919FF,#B2B2FF,xkcd:violet
457,quatre cocos,MU,56,09/28/2018,88,-20.21,57.76,70.17,10.31,xkcd:orange,#3333FF,#7F7FFF,xkcd:blue
458,college,US,1,09/28/2018,7,64.86,-147.8,55.04,11.41,xkcd:yellow green,#FFFFFF,#0000FF,xkcd:blue
459,bambous virieux,MU,56,09/28/2018,88,-20.34,57.76,70.17,10.31,xkcd:orange,#3333FF,#7F7FFF,xkcd:blue
460,watari,JP,75,09/28/2018,82,38.04,140.87,60.8,4.7,xkcd:yellow,#3333FF,#B2B2FF,xkcd:violet
461,umba,RU,64,09/28/2018,100,66.69,34.34,39.48,13.67,xkcd:green,#0000FF,#9999FF,xkcd:blue
462,fairbanks,US,1,09/28/2018,7,64.84,-147.72,55.04,11.41,xkcd:yellow green,#FFFFFF,#0000FF,xkcd:blue
463,makokou,GA,88,09/28/2018,98,0.56,12.85,70.26,2.26,xkcd:orange,#1919FF,#CCCCFF,xkcd:violet
464,hohhot,CN,40,09/28/2018,60,40.81,111.65,42.8,6.71,xkcd:sea green,#7F7FFF,#4C4CFF,xkcd:indigo blue
465,vardo,NO,12,09/28/2018,100,70.37,31.11,39.21,14.34,xkcd:green,#0000FF,#1919FF,xkcd:blue
466,vaini,TO,75,09/28/2018,78,-21.2,-175.2,77,8.05,xkcd:orange,#4C4CFF,#B2B2FF,xkcd:indigo blue
467,merrill,US,1,09/28/2018,3,42.03,-121.6,84.02,4.7,xkcd:reddish orange,#FFFFFF,#0000FF,xkcd:violet
468,te anau,NZ,36,09/28/2018,69,-45.41,167.72,50.19,18.25,xkcd:yellow green,#6666FF,#4C4CFF,xkcd:green
469,varhaug,NO,75,09/28/2018,93,58.61,5.65,46.4,5.82,xkcd:sea green,#1919FF,#B2B2FF,xkcd:indigo blue
470,juneau,US,90,09/28/2018,80,58.3,-134.42,53.96,6.93,xkcd:yellow green,#4C4CFF,#CCCCFF,xkcd:indigo blue
471,torbay,CA,90,09/28/2018,100,47.66,-52.73,51.8,13.87,xkcd:yellow green,#0000FF,#CCCCFF,xkcd:blue
472,nizwa,OM,0,09/28/2018,66,22.93,57.53,65.04,2.82,xkcd:yellow,#6666FF,#0000FF,xkcd:violet
473,kayerkan,RU,20,09/28/2018,91,69.35,87.76,48.66,18.37,xkcd:sea green,#1919FF,#1919FF,xkcd:green
474,bria,CF,12,09/28/2018,90,6.54,21.99,69.99,2.82,xkcd:yellow,#3333FF,#1919FF,xkcd:violet
475,kodiak,US,90,09/28/2018,66,39.95,-94.76,51.98,9.17,xkcd:yellow green,#6666FF,#CCCCFF,xkcd:indigo blue
476,praia da vitoria,PT,40,09/28/2018,88,38.73,-27.07,71.6,17.81,xkcd:orange,#3333FF,#4C4CFF,xkcd:green
477,san giorgio del sannio,IT,0,09/28/2018,67,41.07,14.85,57.2,2.04,xkcd:yellow green,#6666FF,#0000FF,xkcd:violet
478,arraial do cabo,BR,64,09/28/2018,98,-22.97,-42.02,72.69,6.29,xkcd:orange,#1919FF,#9999FF,xkcd:indigo blue
479,gorin,RU,0,09/28/2018,66,51.2,136.66,55.05,2.59,xkcd:yellow green,#6666FF,#0000FF,xkcd:violet
480,north platte,US,90,09/28/2018,60,41.12,-100.77,48.02,6.93,xkcd:sea green,#7F7FFF,#CCCCFF,xkcd:indigo blue
481,trogir,HR,0,09/28/2018,55,43.52,16.25,60.8,4.7,xkcd:yellow,#7F7FFF,#0000FF,xkcd:violet
482,salalah,OM,75,09/28/2018,74,17.01,54.1,78.8,1.12,xkcd:orange,#4C4CFF,#B2B2FF,xkcd:violet
483,nome,US,1,09/28/2018,80,30.04,-94.42,80.06,5.82,xkcd:reddish orange,#4C4CFF,#0000FF,xkcd:indigo blue
484,savannah bight,HN,20,09/28/2018,97,16.45,-85.85,83.94,16.46,xkcd:reddish orange,#1919FF,#1919FF,xkcd:green
485,makat,KZ,12,09/28/2018,80,47.65,53.35,42.27,5.06,xkcd:sea green,#4C4CFF,#1919FF,xkcd:indigo blue
486,malibu,US,90,09/28/2018,90,33.61,-84.48,77,2.71,xkcd:orange,#3333FF,#CCCCFF,xkcd:violet
487,knysna,ZA,0,09/28/2018,71,-34.04,23.05,51.8,10.29,xkcd:yellow green,#4C4CFF,#0000FF,xkcd:blue
488,dikson,RU,64,09/28/2018,89,73.51,80.55,40.02,14.67,xkcd:sea green,#3333FF,#9999FF,xkcd:blue
489,sur,OM,0,09/28/2018,98,22.57,59.53,82.23,5.17,xkcd:reddish orange,#1919FF,#0000FF,xkcd:indigo blue
490,estacion coahuila,MX,1,09/28/2018,14,32.19,-115,104,13.87,xkcd:red,#E5E5FF,#0000FF,xkcd:blue
491,lukaya,UG,40,09/28/2018,88,-0.15,31.87,69.8,5.82,xkcd:yellow,#3333FF,#4C4CFF,xkcd:indigo blue
492,palmer,US,90,09/28/2018,77,61.6,-149.11,57.92,3.36,xkcd:yellow green,#4C4CFF,#CCCCFF,xkcd:violet
493,vila franca do campo,PT,75,09/28/2018,88,37.72,-25.43,71.6,8.05,xkcd:orange,#3333FF,#B2B2FF,xkcd:indigo blue
494,sitka,US,92,09/28/2018,81,37.17,-99.65,59.82,17.58,xkcd:yellow green,#3333FF,#E5E5FF,xkcd:green
495,san lorenzo,AR,40,09/28/2018,57,-24.73,-65.49,82.4,5.82,xkcd:reddish orange,#7F7FFF,#4C4CFF,xkcd:indigo blue
496,tuktoyaktuk,CA,90,09/28/2018,80,69.44,-133.03,30.2,8.05,xkcd:green,#4C4CFF,#CCCCFF,xkcd:indigo blue
497,noyabrsk,RU,92,09/28/2018,96,63.2,75.45,47.13,16.02,xkcd:sea green,#1919FF,#E5E5FF,xkcd:green
498,gonda,IN,0,09/28/2018,92,27.13,81.96,75.84,5.28,xkcd:orange,#1919FF,#0000FF,xkcd:indigo blue
499,barinas,VE,8,09/28/2018,82,8.64,-70.23,80.97,2.93,xkcd:reddish orange,#3333FF,#0000FF,xkcd:violet
500,izazi,TZ,0,09/28/2018,88,-7.24,35.72,56.04,2.04,xkcd:yellow green,#3333FF,#0000FF,xkcd:violet
501,nabire,ID,12,09/28/2018,85,-3.36,135.5,77.28,1.14,xkcd:orange,#3333FF,#1919FF,xkcd:violet
502,saurimo,AO,20,09/28/2018,94,-9.66,20.4,64.32,2.59,xkcd:yellow,#1919FF,#1919FF,xkcd:violet
503,gimli,CA,20,09/28/2018,88,50.63,-96.99,36.33,10.76,xkcd:green,#3333FF,#1919FF,xkcd:blue
504,san benito abad,CO,44,09/28/2018,91,8.93,-75.03,79.26,5.39,xkcd:orange,#1919FF,#6666FF,xkcd:indigo blue
505,smithers,CA,75,09/28/2018,62,54.78,-127.17,55.4,6.93,xkcd:yellow green,#6666FF,#B2B2FF,xkcd:indigo blue
506,xiongzhou,CN,0,09/28/2018,94,32.34,118.83,68,2.24,xkcd:yellow,#1919FF,#0000FF,xkcd:violet
507,whitehorse,CA,20,09/28/2018,53,60.72,-135.06,50,4.7,xkcd:sea green,#7F7FFF,#1919FF,xkcd:violet
508,mount gambier,AU,64,09/28/2018,77,-37.83,140.78,53.61,4.61,xkcd:yellow green,#4C4CFF,#9999FF,xkcd:violet
509,alofi,NU,75,09/28/2018,57,-19.06,-169.92,80.6,16.11,xkcd:reddish orange,#7F7FFF,#B2B2FF,xkcd:green
510,zhezkazgan,KZ,0,09/28/2018,80,47.8,67.71,36.51,2.93,xkcd:green,#4C4CFF,#0000FF,xkcd:violet
511,saint-louis,RE,0,09/28/2018,59,-21.27,55.42,68,6.93,xkcd:yellow,#7F7FFF,#0000FF,xkcd:indigo blue
512,aklavik,CA,75,09/28/2018,74,68.22,-135.01,30.2,6.93,xkcd:green,#4C4CFF,#B2B2FF,xkcd:indigo blue
513,loa janan,ID,32,09/28/2018,79,-0.58,117.09,81.33,2.93,xkcd:reddish orange,#4C4CFF,#4C4CFF,xkcd:violet
514,zile,TR,0,09/28/2018,87,40.3,35.89,44.6,2.59,xkcd:sea green,#3333FF,#0000FF,xkcd:violet
515,mount isa,AU,0,09/28/2018,15,-20.73,139.49,89.6,11.41,xkcd:reddish orange,#E5E5FF,#0000FF,xkcd:blue
516,vila velha,BR,0,09/28/2018,78,-3.71,-38.6,80.6,10.29,xkcd:reddish orange,#4C4CFF,#0000FF,xkcd:blue
517,ahipara,NZ,36,09/28/2018,74,-35.17,173.16,58.56,4.94,xkcd:yellow green,#4C4CFF,#4C4CFF,xkcd:violet
518,chapais,CA,90,09/28/2018,93,49.78,-74.86,41,11.41,xkcd:sea green,#1919FF,#CCCCFF,xkcd:blue
519,kanchanaburi,TH,36,09/28/2018,95,14.03,99.53,75.93,2.93,xkcd:orange,#1919FF,#4C4CFF,xkcd:violet
520,punta arenas,CL,0,09/28/2018,75,-53.16,-70.91,41,8.05,xkcd:sea green,#4C4CFF,#0000FF,xkcd:indigo blue
521,havoysund,NO,75,09/28/2018,86,71,24.66,33.8,12.75,xkcd:green,#3333FF,#B2B2FF,xkcd:blue
522,imbituba,BR,75,09/28/2018,83,-28.24,-48.67,71.6,9.17,xkcd:orange,#3333FF,#B2B2FF,xkcd:indigo blue
523,powell,US,1,09/28/2018,55,40.16,-83.08,64.04,3.36,xkcd:yellow,#7F7FFF,#0000FF,xkcd:violet
524,saint-philippe,RE,0,09/28/2018,59,-21.36,55.77,68,6.93,xkcd:yellow,#7F7FFF,#0000FF,xkcd:indigo blue
525,jiaozuo,CN,0,09/28/2018,66,35.21,113.25,55.86,2.26,xkcd:yellow green,#6666FF,#0000FF,xkcd:violet
526,barreirinha,BR,0,09/28/2018,72,-2.8,-57.07,84.57,2.71,xkcd:reddish orange,#4C4CFF,#0000FF,xkcd:violet
527,natal,BR,20,09/28/2018,83,-5.81,-35.21,77,6.93,xkcd:orange,#3333FF,#1919FF,xkcd:indigo blue
528,bahia blanca,AR,0,09/28/2018,100,-38.72,-62.27,57.2,4.7,xkcd:yellow green,#0000FF,#0000FF,xkcd:violet
529,lagoa,PT,0,09/28/2018,94,37.14,-8.45,71.6,5.82,xkcd:orange,#1919FF,#0000FF,xkcd:indigo blue
530,bluff,NZ,88,09/28/2018,84,-46.6,168.33,55.23,23.96,xkcd:yellow green,#3333FF,#CCCCFF,xkcd:sea green
531,nishihara,JP,90,09/28/2018,82,35.74,139.53,69.8,4.7,xkcd:yellow,#3333FF,#CCCCFF,xkcd:violet
532,nador,MA,20,09/28/2018,83,35.17,-2.93,71.6,4.7,xkcd:orange,#3333FF,#1919FF,xkcd:violet
533,broken hill,AU,0,09/28/2018,50,-31.97,141.45,54.42,14.67,xkcd:yellow green,#9999FF,#0000FF,xkcd:blue
534,torrington,US,90,09/28/2018,85,42.06,-104.18,44.96,10.29,xkcd:sea green,#3333FF,#CCCCFF,xkcd:blue
535,broome,AU,0,09/28/2018,54,-17.97,122.23,82.4,6.93,xkcd:reddish orange,#7F7FFF,#0000FF,xkcd:indigo blue
536,jamestown,US,90,09/28/2018,93,41.5,-71.37,59,8.05,xkcd:yellow green,#1919FF,#CCCCFF,xkcd:indigo blue
537,wuda,CN,0,09/28/2018,79,39.5,106.72,33.81,2.37,xkcd:green,#4C4CFF,#0000FF,xkcd:violet
538,sabang,ID,0,09/28/2018,100,1.17,120.82,83.13,3.71,xkcd:reddish orange,#0000FF,#0000FF,xkcd:violet
539,bien hoa,VN,40,09/28/2018,94,10.95,106.82,80.6,1.12,xkcd:reddish orange,#1919FF,#4C4CFF,xkcd:violet
540,komsomolskiy,RU,92,09/28/2018,97,67.55,63.78,36.42,3.15,xkcd:green,#1919FF,#E5E5FF,xkcd:violet
541,neman,RU,0,09/28/2018,92,55.03,22.03,40.56,8.75,xkcd:sea green,#1919FF,#0000FF,xkcd:indigo blue
542,cabo san lucas,MX,75,09/28/2018,78,22.89,-109.91,84.2,5.82,xkcd:reddish orange,#4C4CFF,#B2B2FF,xkcd:indigo blue
543,lovozero,RU,76,09/28/2018,92,68.01,35.02,31.38,5.73,xkcd:green,#1919FF,#B2B2FF,xkcd:indigo blue
544,comodoro rivadavia,AR,40,09/28/2018,62,-45.87,-67.48,59,19.46,xkcd:yellow green,#6666FF,#4C4CFF,xkcd:green
545,christchurch,NZ,0,09/28/2018,42,-43.53,172.64,64.4,9.17,xkcd:yellow,#9999FF,#0000FF,xkcd:indigo blue
546,new norfolk,AU,20,09/28/2018,73,-42.78,147.06,53.6,17.22,xkcd:yellow green,#4C4CFF,#1919FF,xkcd:green
547,shimoda,JP,90,09/28/2018,88,34.7,138.93,66.2,4.7,xkcd:yellow,#3333FF,#CCCCFF,xkcd:violet
548,rio claro,TT,20,09/28/2018,88,10.31,-61.18,80.6,7.96,xkcd:reddish orange,#3333FF,#1919FF,xkcd:indigo blue
549,chuy,UY,92,09/28/2018,96,-33.69,-53.46,62.79,23.4,xkcd:yellow,#1919FF,#E5E5FF,xkcd:sea green
550,marawi,SD,92,09/28/2018,24,18.48,31.82,82.05,2.37,xkcd:reddish orange,#CCCCFF,#E5E5FF,xkcd:violet
551,busselton,AU,76,09/28/2018,100,-33.64,115.35,59.46,20.15,xkcd:yellow green,#0000FF,#B2B2FF,xkcd:sea green
552,segovia,ES,0,09/28/2018,59,40.95,-4.12,60.8,4.7,xkcd:yellow,#7F7FFF,#0000FF,xkcd:violet
553,iqaluit,CA,75,09/28/2018,74,63.75,-68.52,33.8,4.7,xkcd:green,#4C4CFF,#B2B2FF,xkcd:violet
554,byron bay,AU,0,09/28/2018,57,-28.65,153.62,77,19.46,xkcd:orange,#7F7FFF,#0000FF,xkcd:green
555,turbat,PK,0,09/28/2018,85,26,63.05,66.93,1.59,xkcd:yellow,#3333FF,#0000FF,xkcd:violet
556,ossora,RU,0,09/28/2018,100,59.24,163.07,45.78,2.93,xkcd:sea green,#0000FF,#0000FF,xkcd:violet
557,dolores,AR,92,09/28/2018,88,-36.31,-57.68,65.31,17.69,xkcd:yellow,#3333FF,#E5E5FF,xkcd:green
558,shingu,JP,75,09/28/2018,94,33.72,135.99,69.8,5.82,xkcd:yellow,#1919FF,#B2B2FF,xkcd:indigo blue
559,kavaratti,IN,64,09/28/2018,100,10.57,72.64,79.26,9.19,xkcd:orange,#0000FF,#9999FF,xkcd:indigo blue
560,dunedin,NZ,88,09/28/2018,62,-45.87,170.5,55.68,14.79,xkcd:yellow green,#6666FF,#CCCCFF,xkcd:blue
561,ostashkov,RU,0,09/28/2018,100,57.14,33.12,36.87,9.19,xkcd:green,#0000FF,#0000FF,xkcd:indigo blue
562,clyde river,CA,90,09/28/2018,86,70.47,-68.59,28.4,9.17,xkcd:blue,#3333FF,#CCCCFF,xkcd:indigo blue
563,oum hadjer,TD,0,09/28/2018,65,13.3,19.7,77.73,4.16,xkcd:orange,#6666FF,#0000FF,xkcd:violet
564,araouane,ML,0,09/28/2018,34,18.9,-3.53,79.17,4.38,xkcd:orange,#B2B2FF,#0000FF,xkcd:violet
565,khatanga,RU,12,09/28/2018,90,71.98,102.47,40.83,12.88,xkcd:sea green,#3333FF,#1919FF,xkcd:blue
566,tazovskiy,RU,8,09/28/2018,66,67.47,78.7,52.08,19.71,xkcd:yellow green,#6666FF,#0000FF,xkcd:green
567,mangan,IN,0,09/28/2018,78,27.5,88.54,36.69,2.15,xkcd:green,#4C4CFF,#0000FF,xkcd:violet
568,yellowknife,CA,75,09/28/2018,69,62.45,-114.38,33.8,20.8,xkcd:green,#6666FF,#B2B2FF,xkcd:sea green
